UNITID,Similar School 1,Similar School 2,Similar School 3,Similar School 4,Similar School 5,Similar School 6,Similar School 7,Similar School 8,Similar School 9,Similar School 10,Similar School 11,Similar School 12,Similar School 13,Similar School 14,Similar School 15
122597,110583,190594,196130,136172,190664,126580,190549,110592,147776,190512,110556,122755,110608,161873,190558
122603,139348,179317,206215,124283,177092,177278,195580,175139,186122,21510501,203997,216816,366793,215619,195155
122612,144740,193654,131159,239105,195809,120883,122436,207971,228875,13247101,174914,194310,110316,12293101,117946
122649,369002,402828,244190,409616,172477,141936,167215,20627905,20627901,20627902,20627903,232885,164915,228194,20627906
122728,246789,189981,204990,237136,190080,147031,112127,459736,213446,120795,175139,178518,157207,203997,16822703
122755,110617,122597,190664,110583,190594,110592,190549,190512,126580,136172,196130,147776,190558,110556,110574
122843,121381,178226,437848,443687,381787,434982,449898,146393,445300,406194,173887,181400,119775,450094,260813
122931,129428,235316,143358,111948,110413,129525,224323,217402,153269,192323,212601,166452,232706,216597,217235
123095,110307,108269,209296,220996,369659,459745,240213,21036801,21036802,15483701,23384201,143978,480198,445735,459824
123165,168218,211273,166939,167835,197133,212911,198385,152390,121345,216287,112260,164465,213385,218070,399911
123280,185758,178679,154536,443340,213446,219842,155496,151865,172705,213631,166045,164474,183804,145275,101453
123448,167215,126049,11508305,11508303,11508306,20627905,20627903,20627902,20627901,175281,20627906,228194,111391,123970,146241
123457,232043,230825,214157,173142,150668,222983,238333,213668,446640,107080,143084,233301,140252,162654,210571
123554,231068,200217,210739,238980,209825,181002,192819,117946,224323,236595,191968,186283,235316,129525,193584
123572,433660,185590,128771,140164,149231,110565,170082,184782,185262,214607,225414,165024,167729,217420,216764
123633,122117,369659,108269,220996,209296,110307,123095,459745,445735,459824,240213,23384201,21036801,21036802,15483701
123651,209409,219383,198969,177339,198695,146339,180595,101435,153375,219000,235769,155636,210331,444990,226587
123943,164915,141936,235547,401250,214564,232885,374024,480134,117672,167598,238573,233356,147590,439783,177986
123952,202170,143048,108870,110370,120403,366368,166984,214971,169442,163295,235024,122506,164748,112570,164872
123961,193900,215062,131469,12293101,190150,162928,131496,201645,221999,227757,144050,160755,211440,164988,147767
123970,111391,228194,167215,146241,11508306,11508305,11508303,175281,126049,193821,20627906,20627903,20627901,20627902,20627905
124283,177278,177092,179317,206215,139348,122603,366793,195155,239424,186122,206288,216816,455099,177126,175139
124292,221519,230940,446048,197230,232256,230898,150455,239017,217998,210669,206589,139144,173300,156408,174844
125231,413413,372213,145770,126827,444158,444130,442569,456348,164438,454689,450979,458973,441308,104717,447698
125718,165945,148885,195155,239424,177278,476601,177092,124283,206215,179317,177816,455099,122603,217606,139348
125727,173300,233426,183239,142294,231059,384254,239716,183275,173647,174844,209056,218973,198516,214175,212009
125763,146481,204909,228343,233295,216524,184348,218070,399911,195474,195304,213385,220710,166018,197133,168281
125897,115728,225399,199412,144281,134945,114813,168290,176628,219833,186432,197197,193399,225627,243443,150163
126012,441104,177427,117520,149028,147129,420246,455433,384306,148593,148575,439446,475273,364122,133872,177038
126030,442222,452090,121983,455169,183789,434715,138929,450942,451510,369002,446002,451130,432232,402828,367954
126049,228194,167215,11508305,11508303,11508306,20627906,20627901,20627902,20627903,20627905,146241,123970,111391,175281,123448
126076,431983,197647,196431,194657,192624,189273,444413,149329,196583,405058,193247,216311,189264,167677,189857
126182,187967,107983,115755,188304,221768,175078,171456,200253,207865,228501,232566,178615,222831,383996,180692
126562,209807,228769,448886,156125,199148,178402,159939,185828,240453,407009,216339,206084,202134,420574,151111
126580,136172,122597,196130,190549,147776,151102,110583,190594,190664,190512,161873,190558,110592,110556,122755
126614,153658,155317,209542,23693903,23693901,153603,106397,228723,214777,171100,233921,196060,186380,110714,151351
126669,168786,136330,168254,147660,225247,177214,169983,180179,164562,230807,177065,238661,146339,175421,446932
126678,173902,120254,209922,221351,209056,157818,189097,116846,454184,181446,198613,240338,197133,173258,198385
126702,210942,458496,145460,458982,468015,450094,108232,441973,224776,148177,410502,173887,367194,117113,119775
126775,217882,232186,217484,163268,166513,206604,178420,203517,130943,186867,163286,196079,183044,171128,214607
126818,178396,209551,218663,221759,234030,230764,240444,104151,139959,134097,100663,100706,200332,134130,170976
126827,372213,125231,145770,413413,446738,440439,445133,434991,443687,104717,117928,449898,440457,441308,419509
126979,216463,439817,216816,366793,206288,177126,195155,239424,211130,455099,177092,206215,177278,124283,179317
127024,398130,438416,445391,211477,440484,440147,406194,133465,381787,442639,191205,432241,434982,443784,380465
127060,196468,212106,191241,212054,145725,167358,131283,146719,179159,194541,117946,12293101,239105,181002,209825
127185,174251,128391,207263,207041,141565,181215,115755,155061,155025,178624,240727,211644,180461,157401,144892
127273,157298,173896,131973,223001,196884,160029,146977,150215,215424,144014,210368,224305,150288,414966,176600
127556,199111,262129,180489,106704,174783,220075,151324,105330,178341,230728,238032,240365,174233,157951,211158
127565,441900,196291,225432,240453,190691,151102,142328,174075,156125,202134,218742,414878,198598,152266,219259
127653,195234,221971,184773,233541,176479,150066,240107,140447,213826,239080,216931,232557,121691,130314,215929
127714,247825,388520,220871,243498,210368,150288,213640,143659,215628,176600,172033,224305,227289,176789,202903
127741,198464,138354,220075,151324,243197,209542,23693903,23693901,233277,154095,155317,174783,237011,110538,173920
127918,173328,212984,215442,213367,236577,11917301,196592,207458,155089,206622,219709,192439,110361,229160,227845
127945,440341,451820,112394,448576,480301,451510,452027,449481,188146,451848,109651,445692,367194,142887,460871
128106,240277,231712,229179,179566,130493,102094,142115,159416,220978,235167,22870501,226833,219602,218724,230913
128391,174251,127185,180948,173124,219259,180461,219356,18017901,191533,230603,181215,240727,170639,144892,178624
128498,164447,128744,167899,212601,129525,262086,232706,222178,148405,217235,165167,192323,183026,112075,170037
128744,165167,222178,170037,164447,217235,166452,167899,128498,148405,129525,232706,154235,212601,183026,111948
128771,433660,149231,140164,123572,214713,185590,167729,214041,165024,214607,170082,217420,184782,157447,169798
128780,196237,196219,214801,476975,214786,214698,215275,451671,225414,184782,123572,185262,447050,178420,140164
128902,212009,212577,130697,196866,212674,218973,145646,170532,239017,237057,170301,143084,222983,233301,162654
129020,130943,166629,196088,163286,196097,132903,134130,199120,234076,240444,228778,228723,170976,215293,186201
